Model,Random 5-fold,Leave-one-paper-out,Leave-one-dopant-out,Leakage gap
Random Forest,0.7858532527605201,0.08439969616087128,0.2089814048694313,0.7014535565996488
Extra Trees,0.714412017156624,-0.009466363175351322,0.07464985666388368,0.7238783803319753
Gradient Boosting,0.7181106756421636,0.21363649126868278,0.34901826164986294,0.5044741843734808
Hist. Gradient Boosting,0.475892031696999,-0.060801423462232274,-0.1722096162223512,0.5366934551592313
Ridge (linear),0.6599200351087611,0.18045145344271152,0.24498081551184436,0.47946858166604955
SVR (RBF),0.6632615049646117,-0.15465638581099883,-0.16824017815979353,0.8179178907756105
k-NN (k=5),0.5982679702738658,-0.3143605745356217,-0.3152452486642139,0.9126285448094875
